demuestra	d'Emju:str@
den	d'En
denial	dI2n'aI@L
denies	dI2n'aIz
denim	d'EnI2m
denmark	d'EnmA@k
denng	d'EnN
dennys	d'EnIz
density	d'EnsI2ti
dent	d'Ent
dentist	d'EntIst
denver	d'Env3
deny	dI2n'aI
deodorant	di:;'oUd@r@nt
depart	dI2p'A@t
depend	dI2p'End
depending	dI2p'EndIN
depends	dI2p'Endz
dependss	dI2p'Ends
deployed	dI2pl'OId
depo	dI2p'oU
deposit	dI2p'0sIt
deposits	dI2p'0sIts
depot	d'EpoU
depp	d'Ep
depressed	dI2pr'Est
depressing	dI2pr'EsIN
dept	dI2p'A@tm@nt
depth	d'EpT
derby	d'A@bi
dere	d'Er@
dereon	d'ErI2;@n
dero	d'EroU
derogatory	dI2r'0g@t3r,i
derogatry	d@r'0g@tr,I
dersires	d'3:saI@z
derulo	d@r'u:loU
des	d'Es
desagradables	dI2sa#gr'eId@b@Lz
desbribe	dI2sbr'aIb
descended	dI2s'EndI2d
descent	dI2s'Ent
descentquot	dI2s'Entkw0t
describe	dI2skr'aIb
described	dI2skr'aIbd
describes	dI2skr'aIbz
describing	dI2skr'aIbIN
descriminated	dI2skr'ImI2n,eItI2d
dese	dI2s'E
deseo	dI2sI2;'oU
desert	d'Es3t
deserted	dI2z'3:tI2d
deserts	dI2z'3:ts
deserve	dI2z'3:v
deserved	dI2z'3:vd
deserves	dI2z'3:vz
deside	dI2z'aId
design	dI2z'aIn
designated	d'EzIgn,eItI2d
designed	dI2z'aInd
designer	dI2z'aIn3
designs	dI2z'aInz
desire	dI2z'aI@
desk	d'Esk
desks	d'Esks
desktop	d'Eskt0p
desnudo	dI2snj'u:doU
desparate	dI2sp'areIt
despedirme	dI2sp'Ed3:m
desperate	d'Esp3r@t
despertarse	dI2sp'3:tA@s
despratecreep	dI2spr'eItkri:p
despret	dI2spr'Et
desse	dI2ss'E
dessert	dI2z'3:t
destin	d'EstIn
destination	d,EstIn'eIS@n
destiny	d'EstIni
destinyhee	d'EstIn,Ihi:
destroy	dI2str'OI
destroyed	dI2str'OId
destruction	dI2str'VkS@n
destructive	dI2str'VktIv
detached	dI2t'atSt
detail	d'i:teIl
details	d'i:teIlz
detailss	d'i:teIls
detailto	di:t'eIltoU
detect	dI2t'Ekt
detector	dI2t'Ekt3
detectors	dI2t'Ekt3z
detention	dI2t'EnS@n
detentions	dI2t'EnS@nz
deter	dI2t'3:
detergent	dI2t'3:dZ@nt
determine	dI2t'3:mI2n
determined	dI2t'3:mI2nd
determines	dI2t'3:mI2nz
determining	dI2t'3:mI2nIN
detrament	dI2tr'am@nt
deuce	dj'u:s
devalue	di:v'alju:
develop	dI2v'El@p
developed	dI2v'El@pt
developers	dI2v'El@p3z
developing	dI2v'El@pIN
development	dI2v'El@pm@nt
devices	dI2v'aIsI2z
devil	d'Ev@L
devise	dI2v'aIz
devonport	d'Ev@np,o@t
devorcedd	dI2v'o@sEd
devoted	dI2v'oUtI2d
dew	dj'u:
dey	d'eI
df	d,i:;'Ef
dgaf	d'i:g'af
dh	d,i:;'eItS
dha	d,i:;,eItS'eI
dhat	d'i:h'at
dhats	d'i:h'ats
dhatss	d'i:h'ats
dhatt	d'i:h'at
dhem	d'i:h'Em
dhese	d'i:z
dheyy	d'i:h'eIi
dhiss	d'i:h'Is
dhs	d,i:;,eItS'Es
di	d'I
diabolical	d,aI@b'0lIk@L
diagnosed	d,aI@gn'oUzd
dial	d'aI@l
dialled	d'aI@ld
diamond	d'aI@m@nd
diamonds	d'aI@m@ndz
diana	daI;'an@
diaper	d'aIp3
diapers	d'aIp3z
diarreah	d'aI@r,i:
diary	d'aI@ri
diarys	d'aI@rIz
dias	d'aI@z
diass	d'aI@s
dicaprio	dIk'aprI2;,oU
dice	d'aIs
dices	d'aIsI2z
dick	d'Ik
dickall	d'IkO:l
dickk	d'Ikk
dickr	d'Ik3
dicks	d'Iks
dicktionary	d'IkS@n@ri
dictator	dI2kt'eIt3
dictators	dI2kt'eIt3z
dictionary	d'IkS@n@ri
did	d'Id
dida	d'i:d@
didbut	d'IdbVt
didd	d'Id
diddnt	d'Idnt
diddo	d'IdoU
diddums	d'Id@mz
diddy	d'Idi
didlol	d'Idl0l
didn	d'Id@n
didnapost	d'Idna#p,0st
didnt	d'Idnt
didntandy	d'Idntandi
didntknow	d'IdntnoU
didntt	d'Idnt
didnut	d'IdnVt
didwill	d'IdwIl
die	d'aI
diected	d'aIktI2d
died	d'aId
diee	d'i:
diego	dI;'eIgoU
dieing	d'aIIN
diesel	d'i:z@L
diet	d'aI@t
diferant	d'aIfr@nt
diferente	d'aIfrEnt
diff	d'If
diffecency	d'IfI2s@nsi
difference	d'Ifr@ns
differencecome	d'If3r,EnsI2k,Vm
differences	d'Ifr@nsI2z
different	d'Ifr@nt
differently	d'Ifr@ntli
differnet	d'If3nI2t
differnt	d'If3nt
differs	d'If3z
difficult	d'IfIk@Lt
diffrent	d'Ifr@nt
dig	d'Ig
digan	d'Ig@n
digest	daIdZ'Est
digestive	daIdZ'EstIv
digg	d'Ig
diggiety	dIg'aI@tI
digging	d'IgIN
digital	d'IdZIt@L
digits	d'IdZIts
dignity	d'IgnI2ti
digo	d'i:goU
diidd	d'I;Id
diidnt	d'I;Idnt
dije	d'aIdZ
dik	d'Ik
dike	d'aIk
dikk	d'Ik
dildo	d'IldoU
dilema	d'aIlm@
dill	d'Il
dillio	d'IlI2;,oU
dim	d'Im
dimmer	d'Im3
dina	d'i:n@
dinaa	d'InA:
dinero	d'aInroU
ding	d'IN
dingo	d'INgoU
dingoaposs	d'INgoUp,0s
dingos	d'INgoUz
dining	d'aInIN
dinner	d'In3
dinners	d'In3z
dino	d'i:noU
dinosaur	d'aIn@s,O@
dinosaure	d'In@s,O:r@
dint	d'Int
dios	d'i:;oUz
dip	d'Ip
dipping	d'IpIN
dippingr	d'IpINg3
dipshit	d'IpSIt
dipsy	d'Ipsi
direct	daIr'Ekt
directed	daIr'EktI2d
direction	daIr'EkS@n
directions	daIr'EkS@nz
directly	daIr'Ektli
director	daIr'Ekt3
diria	d'Iri;@
dirias	d'Iri@z
dirnking	d'3:NkIN
dirrect	d'3:rEkt
dirrty	d'3:r-@ti
dirt	d'3:t
dirtier	d'3:tI;3
dirtiest	d'3:tI;@st
dirtiness	d'3:tIn@s
dirty	d'3:ti
dirtyy	d'3:tI;i
dis	d'Is
disagree	d,Isa#gr'i:
disagreed	d,Isa#gr'i:d
disagreeing	d,Isa#gr'i:;IN
disagrees	d,Isa#gr'i:z
disapliened	d,Isa#pl'i@nd
disapline	d,Isa#pl'aIn
disapointed	d,Isa#p'OIntI2d
disappear	d,Isa#p'i@3
disappeard	d,Isa#p'i@3d
disappeared	d,Isa#p'i@3d
disappoint	d,Isa#p'OInt
disappointed	d,Isa#p'OIntI2d
disappointing	d,Isa#p'OIntIN
disappointment	d,Isa#p'OIntm@nt
disapproved	d,Isa#pr'u:vd
disaster	d,Is'aast3
disbaling	dI2sb'eIlIN
disble	dI2sbl'E
disclaimer	dI2skl'eIm3
disclose	dI2skl'oUz
disco	d'IskoU
disconfigured	d,Isk@nf'Ig3d
discounts	d'IskaUnts
discover	dI2sk'Vv3
discovered	dI2sk'Vv3d
discoveries	dI2sk'Vv3r-Iz
discovery	dI2sk'Vv3r-i
discrete	dI2skr'i:t
discribe	dI2skr'aIb
discuss	dI2sk'Vs
discussed	dI2sk'Vst
discussion	dI2sk'VS@n
disease	dIz'i:z
disengaged	d,IsEng'eIdZd
disfunction	dI2sf'VNkS@n
disguise	dI2sg'aIz
disgusted	dI2sg'VstI2d
disgusting	dI2sg'VstIN
dish	d'IS
dishes	d'ISI2z
dishing	d'ISIN
dishonestr	dI2s'0nIst3
dislike	dI2sl'aIk
disliked	dI2sl'aIkt
dislikes	dI2sl'aIks
dismembered	dI2sm'Emb3d
disney	d'Izni
disneyland	dI2sn'Iland
disneylands	dI2sn'Ilandz
disorder	dI2s'o@d3
disorders	dI2s'o@d3z
dispensers	dI2sp'Ens3z
dispicably	dI2sp'Ik@blI
dispise	dI2sp'aIz
display	dI2spl'eI
disposal	dI2sp'oUz@L
dispose	dI2sp'oUz
disposing	dI2sp'oUzIN
disregard	d,IsrI2g'A@d
diss	d'Is
dissapoint	dI2s'apOInt
dissecting	d'aIsEktIN
dissing	d'IsIN
distance	d'Ist@ns
distant	d'Ist@nt
distinct	dI2st'INkt
distinctly	dI2st'INktli
distract	dI2str'akt
distracted	dI2str'aktI2d
distracting	dI2str'aktIN
distractions	dI2str'akS@nz
distracts	dI2str'akts
disturbed	dI2st'3:bd
disturbing	dI2st'3:bIN
ditch	d'ItS
ditching	d'ItSIN
diva	d'i:v@
dive	d'aIv
divertida	daIv'3:tId@
diviney	dI2v'aIni
divineys	dI2v'aInIz
diving	d'aIvIN
divinopronto	dI2v,In@pr'0ntoU
divorce	dI2v'o@s
divorced	dI2v'o@st
divorcer	dI2v'o@s3
divorces	dI2v'o@sI2z
divorse	d'IvO@s
divorsing	d'IvO@sIN
dixonn	d'Iks0n
diy	d,i:;,aIw'aI
diz	d'Iz
dizzee	d'Izi:
dizzy	d'Izi
dk	d,i:k'eI
dl	d,i:;'El
dland	d'i:l'and
dm	d,i:;'Em
dmin	d'i:m'In
dming	d'i:m'IN
dn	d,i:;'En
dnn	d,i:;,En'En
dnnr	d,i:;,En,En'A@
dnq	d,i:;,Enkj'u:
dnt	d,i:;,Ent'i:
do	d'u:
doble	d'0b@L
doc	d'0k
dock	d'0k
docotr	d'0k0t3
docs	d'0ks
doctor	d'0kt3
doctordoctor	d'0kto@d,0kt3
doctors	d'0kt3z
doctorus	d'0kto@r@s
documentary	d,0kju:m'Ent@ri
dodge	d'0dZ
dodgeball	d'0dZbO:l
dodid	d'0dId
dodo	d'oUdoU
doe	d'oU
doee	d'oU
doenst	d'oUnst
doer	d'u:3
does	d'Vz
doesdid	d'oUzdId
doesnapost	d'oUsna#p,0st
doesnt	d'Vz@nt
doesnut	d'oUsnVt
doest	d'oUst
doeswow	d'oUswaU
doezz	d'oUz
dog	d'0g
doget	d'0dZI2t
dogg	d'0g
doggie	d'0gi
doggies	d'0gIz
doggy	d'0gi
dogs	d'0gz
doh	d'oU
dohave	d'oUheIv
dohi	d'oUhaI
doihknowyuhr	d'OIhnoUI;,u:3
doin	d'u:In
doing	d'u:IN
doingquot	d'u:INkw,0t
doinqq	d'OInk
doits	d'OIts
dokey	d'oUki
dokeysweet	d'oUkIsw,i:t
dokie	d'oUki
dolas	d'oUl@z
doleave	d'oUleIv
doll	d'0l
dolla	d'0l@
dollaquot	d'0la#kw,0t
dollar	d'0l3
dollars	d'0l3z
doller	d'0l3
dollers	d'0l3z
dollor	d'0l3
dollors	d'0l3z
dolls	d'0lz
dolphin	d'0lfIn
dolphins	d'0lfInz
domestic	d@m'EstIk
domestically	d@m'EstIkli
dominant	d'0mIn@nt
dominate	d'0mI2n,eIt
dominated	d'0mI2n,eItI2d
dominates	d'0mI2n,eIts
dominic	d'0mI2n,Ik
dominican	d@m'InIk@n
domino	d'0mIn,oU
don	d'0n
donald	d'0n@Ld
donalds	d'0n@Ldz
donapost	d'0na#p,0st
donate	doUn'eIt
done	d'Vn
donemy	d'oUnmi
dong	d'0N
dongslol	d'0Nsl0l
doning	d'VnIN
donk	d'0Nk
donkey	d'0NkI
donkeys	d'0NkIz
donkk	d'0Nkk
donna	d'0n@
donnie	d'0ni
dono	d'oUnoU
donoo	d'0nu:
donor	d'oUn3
dont	d'oUnt
donti	d'0nti
dontknow	d'0ntnoU
dontr	d'0nt3
dontt	d'0nt
dontyet	d'0ntI;I2t
donubt	d'0nVbt
donut	d'oUnVt
donuts	d'oUnVts
doo	d'u:
dood	d'u:d
doodle	d'u:d@L
doodles	d'u:d@Lz
doodling	d'u:dlIN
dooinn	d'u:In
doomed	d'u:md
door	d'o@
doors	d'o@z
doorstep	d'o@stEp
doos	d'u:z
doosh	d'u:S
dop	d'0p
dope	d'oUp
dopest	d'oUp@st
dor	d'o@
dora	d'o@r@
doritos	do@r'i:toUz
dork	d'o@k
dorkr	d'o@k3
dorks	d'o@ks
dorky	d'o@ki
dos	d'0s
dosage	d'oUsI2dZ
dose	d'oUs
doseud	d'oUsVd
dosh	d'0S
doso	d'oUsoU
doss	d'0s
dot	d'0t
dote	d'oUt
dothen	d'0D@n
dotn	d'0t@n
dots	d'0ts
double	d'Vb@L
doubled	d'Vb@Ld
doublejointed	d'Vb@LdZ,OIntI2d
doublestuffed	d'Vb@Lst,Vft
doubleyouw	d'VblaI;,aUw
doubt	d'aUt
doubtt	d'aUt
doubttr	d'aUt3
douche	d'u:S
douchebagsshove	d'u:SI2b,agsSVv
doucher	d'u:S3
doug	d'Vg
doughnut	d'oUnVt
doules	d'u:lz
dounkin	d'aUNkIn
dove	d'Vv
dovie	d'oUvi
dovy	d'oUvi
dow	d'aU
down	d'aUn
downer	d'aUn3
downfall	d'aUnfO:l
downfalls	d'aUnfO:lz
downgraduation	d,aUNgra#dju:'eIS@n
downi	d'aUni
download	d'aUnloUd
downloaded	d'aUnloUdI2d
downloading	d'aUnloUdIN
downn	d'aUn
downquot	d'aUnkw0t
downquotr	d'aUnkw0t3
downr	d'aUn3
downright	d'aUnraIt
downs	d'aUnz
downstairs	d'aUnste@z
downtown	d'aUntaUn
doyou	d'OIu:
dozen	d'Vz@n
dozens	d'Vz@nz
dozenth	d'Vz@nT
dozz	d'0z
dp	d,i:p'i:
dr	d'0kt3
dragged	dr'agd
dragging	dr'agIN
dragon	dr'ag@n
dragonfly	dr'ag@nfl,aI
dragons	dr'ag@nz
drain	dr'eIn
drake	dr'eIk
draker	dr'eIk3
drama	dr'A:m@
dramafree	dr'ama#fr,i:
dramas	dr'A:m@z
dramaticthink	dr'ama#t,IkTINk
dramma	dr'am@
drank	dr'aNk
draped	dr'eIpt
drasticallyr	dr'aastIk,O:l@
draw	dr'O:
drawer	dr'O@
drawing	dr'O:IN
drawings	dr'O:INz
drawn	dr'O:n
draws	dr'O:z
drayton	dr'eIt@n
dread	dr'Ed
dreadfully	dr'Edf@lI
dreads	dr'Edz
dream	dr'i:m
dreamed	dr'i:md
dreamer	dr'i:m3
dreaming	dr'i:mIN
dreams	dr'i:mz
dreamsquot	dr'i:mskw0t
dreamt	dr'Empt
dreamthat	dr'i:mTat
dreamy	dr'i:mi
dreary	dr'i@3r-i
drenched	dr'EntSt
dress	dr'Es
dressed	dr'Est
dressedd	dr'EsEd
dresser	dr'Es3
dressers	dr'Es3z
dresses	dr'EsI2z
dressing	dr'EsIN
dressquot	dr'Eskw0t
drew	dr'u:
dribble	dr'Ib@L
dridri	dr'Idri
drift	dr'Ift
drilling	dr'IlIN
drina	dr'i:n@
drink	dr'INk
drinked	dr'INkt
drinker	dr'INk3
drinkers	dr'INk3z
drinkin	dr'INkIn
drinking	dr'INkIN
drinklol	dr'INkl0l
drinks	dr'INks
drip	dr'Ip
drive	dr'aIv
driven	dr'Iv@n
driver	dr'aIv3
driveraposs	dr'aIv3r,ap0s
drivers	dr'aIv3z
drives	dr'aIvz
driveuthru	dr'aIv@Tr,u:
driveway	dr'aIvweI
driving	dr'aIvIN
drivingr	dr'IvINg3
drizzy	dr'Izi
droid	dr'OId
drones	dr'oUnz
drooling	dr'u:lIN
drop	dr'0p
dropp	dr'0p
dropped	dr'0pt
droppin	dr'0pIn
dropping	dr'0pIN
drops	dr'0ps
drought	dr'aUt
drove	dr'oUv
drown	dr'aUn
drowned	dr'aUnd
drowning	dr'aUnIN
drowns	dr'aUnz
drty	d,i:;,A@t,i:w'aI
dru	dr'u:
drug	dr'Vg
drugged	dr'Vgd
drugs	dr'Vgz
druken	dr'u:k@n
drum	dr'Vm
drumline	dr'VmlaIn
drums	dr'Vmz
drumstick	dr'VmstIk
drunk	dr'VNk
drunken	dr'VNk@n
drunkhighfucked	dr'VNkhaIf,Vkt
drunkwhat	dr'VNkw0t
dry	dr'aI
dryer	dr'aI3
drys	dr'aIz
ds	d,i:;'Es
dsfdsfdsgfdfgsd	d,i:;,Es'Efd,i:;,Es'Efd,i:;,EsdZ'i:;,Efd,i:;'EfdZ,i:;,Esd'i:
dsz	d,i:;,Esz'Ed
dtf	d,i:t,i:;'Ef
du	d'u:
dubai	dj'u:baI
dubair	dj'u:be@
dubble	d'Vb@L
duces	dj'u:sI2z
duck	d'Vk
duckin	d'VkIn
duckits	d'VkIts
ducks	d'Vks
dude	dj'u:d
dudee	dj'u:di:
dudes	dj'u:dz
dudesapos	dj,u:dI2s'A:poUz
dudeszz	dj'u:dEsz
dudethis	dju:d'ETIz
due	dj'u:
dueces	dj'u:sI2z
duel	dj'u:@l
duerma	dj'u:@m@
duermes	dj'u:@mz
duffle	d'Vf@L
dufnt	d'Vfnt
dug	d'Vg
duh	d'V
duhh	d'u:
dui	dj'u:i
duii	dj'u:I;,aI
duining	dj'u:aInIN
duis	dj'u:iz
dum	d'Vm
dumazz	dju:m'az
dumb	d'Vm
dumbass	d'Vmas
dumbassand	d'Vma#s,and
dumbb	d'Vmb
dumbest	d'Vm@st
dumbfake	d'VmfeIk
dumbfuck	d'VmfVk
dumm	d'Vm
dummies	d'VmIz
dummy	d'Vmi
dump	d'Vmp
dumpsta	d'Vmpst@
dumpster	d'Vmpst3
dumpty	d'Vmpti
dun	d'Vn
dunkin	d'VNkIn
dunno	d'VnoU
dunnor	d'Vn3
dunnt	d'Vnt
duno	d'u:noU
dunu	d'u:nu:
during	dj'U@r-IN
durr	d'3:
dusk	d'Vsk
dust	d'Vst
dusted	d'VstI2d
dusting	d'VstIN
dusty	d'Vsti
duty	dj'u:ti
duu	d'Vu:
duuhh	d'Vu:
duun	d'VVn
duunna	d'VVn@
duvet	d'u:veI
duzntt	d'Vznt
dv	d,i:v'i:
dvd	d,i:v,i:d'i:
dvds	d,i:v,i:d,i:;'Es
dwell	dw'El
dwelling	dw'ElIN
dwn	d,i:d,Vb@Lj,u:'En
dx	d,i:;'Eks
dye	d'aI
dyed	d'aId
dying	d'aIIN
dyingr	d'I;INg3
dynamic	daIn'amIk
dyslexic	dIsl'EksIk
e	'i:
ea	'i:
each	'i:tS
eachother	'i:tSVD3
eachothers	'i:tSVD3z
eachothuh	'i:tS@T,V
eagle	'i:g@L
ear	'i@3
earings	'i@3r-INz
earl	'3:l
earlier	'3:lI;3
earlierwasnt	'3:li@3w,0snt
earliest	'3:lI;@st
early	'3:lI
earlya	'3:lI;@
earlyerr	'3:lI;,e@
earn	'3:n
earned	'3:nd
earns	'3:nz
earphones	'i@3foUnz
earrings	'i@3r-INz
ears	'i@3z
earshot	'i@3S0t
earth	'3:T
earthquakes	'3:TkweIks
earthy	'3:Ti
earwax	'i@3waks
ease	'i:z
easier	'i:zI;3
easiest	'i:zI;@st
easily	'i:zIlI
easilyr	'i:zIl@
easilyy	'i:zIlI;i
easiness	'i:zIn@s
easly	'i:zli
east	'i:st
easter	'i:st3
eastside	'i:stsaId
eastu	'i:stu:
easy	'i:zi
easya	'i:zI;@
easyyr	'i:zI;@
eat	'i:t
eatchew	'i:tSju:
eatdrink	'i:tdrINk
eatdrinktouched	'i:tdrINkt,VtSt
eaten	'i:t@n
eater	'i:t3
eati	'i:ti
eatin	'i:tIn
eating	'i:tIN
eatn	'i:t@n
eats	'i:ts
eatt	'i:t
ebaiz	'EbeIz
ebay	'i:beI
ebuddy	'Eb@d,i
ebuddyit	'Eb@dj,It
eccentric	Eks'EntrIk
echo	'EkoU
eclipse	Ikl'Ips
econamy	'Ek@n,ami
economical	,i:k@n'0mIk@L
economy	Ik'0n@mi
ecplain	'EkpleIn
ect	'Ekt
ectr	'Ekt3
ed	'Ed
edc	'Edk
eddie	'Edi
eden	'i:d@n
edgar	'Edg3
edge	'EdZ
edgebut	'EdZbVt
edges	'EdZI2z
edit	'EdIt
editar	'EdIt3
edited	'EdItI2d
editing	'EdItIN
editor	'EdIt3
edline	'EdlaIn
edquot	'Edkw0t
education	,EdZu:k'eIS@n
educational	,EdZu:k'eIS@-n@L
edward	'Edw3d
ee	'i:
eeb	'i:b
eeff	'i:f
eek	'i:k
eet	'i:t
eff	,i:;,Ef'Ef
effect	If'Ekt
effected	If'EktI2d
effective	If'EktIv
effects	If'Ekts
effily	'EfIlI
effing	'EfIN
effort	'Ef3t
effy	'EfI
efron	'Efr0n
eg	f,O@r-Egz'aamp@L
egg	'Eg
eggrow	'EgroU
eggs	'Egz
egypt	'i:dZIpt
eh	'eI
ehchickety	'eItSIkI2ti
ehehe	'EhEh
ehh	'eI
ehhe	'eIh
ehht	'eIht
ehm	'eI@m
ehmm	'eIm
ehre	'eI3
eight	'eIt
eighth	'eItT
either	'aID3
eitheri	'aIT3r,i
eitheror	'aIT3r3
eitherr	'aIDe@
el	'El
elaborate	Il'ab3r,eIt
elbowed	'ElboUd
elbows	'ElboUz
elder	'Eld3
elderly	'Eld3li
elect	Il'Ekt
election	Il'EkS@n
electra	Il'Ektr@
electric	Il'EktrIk
electrical	Il'EktrIk@L
electricity	I2lEktr'IsI2t,i
electricute	Il'EktrIkj,u:t
electricuted	Il'EktrIkj,u:tI2d
electronic	,ElI2ktr'0nIk
elegant	'ElIg@nt
element	'ElIm@nt
elementary	,ElIm'Ent@ri
elements	'ElIm@nts
elephant	'ElIf@nt
elephants	'ElIf@nts
elequant	Il'Ekw@nt
elevator	'ElIv,eIt3
eleventy	Il'Ev@nti
elf	'Elf
eli	Il'i
eligible	'ElIdZ@b@L
eliminate	Il'ImI2n,eIt
elite	Il'i:t
elizabeth	I2l'Iz@b@T
elk	'Elk
ella	'El@
elle	'El
ellejay	'ElI2dZ,eI
ellen	'El@n
ellie	'Eli
ellisboro	'ElIsb@r,oU
ellison	'ElIs@n
ello	'EloU
elloo	'Elu:
elmo	'ElmoU
else	'Els
elsenope	'ElsnoUp
elser	'Els3
elses	'ElsI2z
elseud	'ElsVd
elsewhere	'Elswe@
elsinore	'ElsIn,o@
elvis	'ElvIs
em	'Em
emahsnouoy	I2m'A:snaU,OI
email	'i:meIl
emailmsn	'i:meIlms@n
emails	'i:meIlz
emarosa	I2ma#r'oUs@
emarried	I2m'arId
embarassed	Emb'arast
embarassing	Emb'arasIN
embaresed	Emb'e@sd
embaressing	Emb'e@sIN
embarrasing	Emb'areIzIN
embarrass	Emb'ar@s
embarrassed	Emb'ar@st
embarrassing	Emb'ar@sIN
embarrassment	Emb'ar@sm@nt
embattled	Emb'at@Ld
ember	'Emb3
embrace	Embr'eIs
embrassing	Embr'aasIN
ememiem	I2m'EmIm
ememy	I2m'Emi
emeniem	I2m'EnIm
emerald	'Em3r@Ld
emergency	I2m'3:dZ@nsi
emery	'Em@ri
emily	'EmI2l,i
emilyquot	'EmIl,Ikw0t
emilys	'EmI2l,iz
eminem	'EmaIn@m
eminems	'EmaIn@mz
emirates	'EmI2r,eIts
emma	'Em@
emmure	Emmj'U@
emo	I2m'oU
emogasmcom	I2m'0ga#zmk,0m
emor	I2m'o@
emoticon	I2m'0tIk@n
emotion	I2m'oUS@n
emotional	I2m'oUS@-n@L
emotionally	I2m'oUS@-n@Li
emotionallyjust	I2m'oUS@-na#l,IdZVst
emotions	I2m'oUS@nz
emphasis	'Emf@s,Is
emphasized	'Emfa#s,aIzd
empire	'EmpaI@
employ	Empl'OI
employed	Empl'OId
employee	Empl'OIi:
employees	Empl'OIi:z
emptiest	'EmptI;@st
empty	'Empti
emtaposs	Emt'ap0s
emz	'Emz
en	'En
enable	En'eIb@L
enables	En'eIb@Lz
enact	En'akt
encantan	Enk'aant@n
enclosure	Enkl'oUZ3
encore	'0nko@
encounter	Enk'aUnt3
encouraged	Enk'VrI2dZd
end	'End
endangered	End'eIndZ3d
endearing	End'i@3r-IN
endearment	End'i@3m@nt
ended	'EndI2d
ending	'EndIN
endings	'EndINz
endless	'Endl@s
endlessly	'Endl@slI
endno	'EndnoU
endow	End'aU
endr	'End3
ends	'Endz
endsr	'Ends3
endthat	'EndTat
enemies	'En@mIz
enemy	'En@mi
enemys	'En@mIz
energetic	,En3dZ'EtIk
energy	'En3dZi
energyapos	,En3dZI;'A:poUz
enforce	Enf'o@s
enforced	Enf'o@st
enforcement	Enf'o@sm@nt
eng	'EN
engage	Eng'eIdZ
engaged	Eng'eIdZd
engagedmarried	Eng'eIdZdmarId
engagement	Eng'eIdZm@nt
engagementslove	Eng'eIdZm@ntsl,Vv
engaging	Eng'eIdZIN
engineers	,EndZIn'i@3z
engines	'EndZInz
england	'INgl@nd
englih	'INglI
english	'INglI2S
englishh	'INglIS
enimies	En'ImIz
enivetable	En'IvI2t@b@L
enjoy	EndZ'OI
enjoyable	EndZ'OI@b@L
enjoyed	EndZ'OId
enjoying	EndZ'OIIN
enjoyment	EndZ'OIm@nt
enjoys	EndZ'OIz
enlarges	Enl'A@dZI2z
enlighten	Enl'aIt@n
enn	'En
enough	I2n'Vf
enoughpgees	I2n'VfpdZi:z
enourmouse	I2n'3:maUs
ensemble	0ns'0mb@L
enslaved	Ensl'eIvd
enstill	Enst'Il
enstilled	Enst'Ild
ent	'Ent
enter	'Ent3
entered	'Ent3d
entertaiin	,Ent@t'aIIn
entertain	,Ent@t'eIn
entertained	,Ent@t'eInd
entertainer	,Ent@t'eIn3
entertainers	,Ent@t'eIn3z
entertaining	,Ent@t'eInIN
entertainingly	,Ent@t'eInINlI
entertainingsinging	,Ent@t'eInINs,INI2N
entertainment	,Ent@t'eInm@nt
enthusiastic	EnTj,u:zI;'astIk
entire	Ent'aI@
entirely	Ent'aI@li
entonces	Ent'0nsI2z
entry	'Entri
enuff	I2n'Vf
env	'Env
envelope	'Env@l,oUp
environment	Env'aIr@nm@nt
envy	'Envi
ep	'Ep
epic	'EpIk
epically	'EpIkli
epidural	'EpIdj,U@r-@L
episode	'EpIs,oUd
episodes	'EpIs,oUdz
eps	'Eps
equal	'i:kw@L
equality	i:kw'0lI2ti
equally	'i:kw@Li
equipment	Ikw'Ipm@nt
equivilent	Ikw'IvIl@nt
er	'3:
era	'i@r@
erase	I2r'eIz
erectile	I2r'EktaIl
eres	'3:z
eric	'ErIk
erica	'ErIk@
erick	'ErIk
erickk	'ErIkk
erikk	'ErIk
erm	'3:m
ermm	'3:m
ermmi	'3:mi
erotic	I2r'0tIk
err	'3:
errday	'3:r-@d,eI
errgg	'3:r-@g
errm	'3:r-@m
errmm	'3:r-@m
errmmharry	'3:r-@mh,ari
error	'Er3
erryyhhaha	,3:rI;Ih'A:h@
es	'i:z
esay	'EseI
escalades	'Eska#l,eIdz
escandalos	'Eska#nd@l,oUz
escape	Esk'eIp
escaped	Esk'eIpt
escargot	I2sk'A@goU
escondido	,Esk@nd'i:doU
escuchan	'EskVtS@n
escuchar	'Esk@tS,A@
escusa	'Eskju:s@
esiited	'i:zI;,ItI2d
esilyahs	'EsIlI;@z
eso	'i:soU
esoo	'Esu:
espanol	Esp'an0l
espaufol	Esp'O:f0l
espcially	Esps'I;@Li
especially	I2sp'ES@L,i
espinosa	EspIn'oUs@
espnr	'Espn3
ess	'Es
essay	'EseI
essaychayywyy	'EseItS,eIIwI;i
essays	'EseIz
esscow	'EskaU
essence	'Es@ns
essences	'Es@nsI2z
esta	'Est@
established	I2st'ablI2St
este	'Est
ester	'Est3
esteraunless	'Est3r,O:nl@s
estimate	'EstI2m@t
estonces	'Est0nsI2z
estoy	'EstOI
estudio	Estj'u:dI2;,oU
etc	Ets'Etr@
etcbut	'EtkbVt
etcetera	'EtsI2t3r@
etcyou	'EtsI;,u:
eternal	I2t'3:n@L
eternity	I2t'3:nI2ti
ethinicity	,i:TIn'IsI2ti
ethnic	'ETnIk
ethnicity	ETn'IsI2ti
etiable	'ESI2;@b@L
eu	,i:j'u:
eugh	j'u:g
eughh	j'u:g
